Periodo,Número,Tipo,Sobre los expedientes,Extracto,Giros,Fecha Dictamen,Estado,Adjunto
2026,293,NORMAL,PE-231/26-AC,"MENSAJE N° 216/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL DE LA CAPITAL FEDERAL, SALA I, AL DR. PABLO YADAROLA.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,292,NORMAL,PE-229/26-AC,"MENSAJE N° 214/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL DE LA CAPITAL FEDERAL, SALA I, AL DR. PABLO DANIEL BERTUZZI.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,291,NORMAL,PE-189/26-AC,"MENSAJE N° 183/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 42 DE LA CAPITAL FEDERAL, AL DR. DIEGO ANDRES VILLANUEVA.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,290,NORMAL,PE-167/26-AC,"MENSAJE N° 169/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 58 DE LA CAPITAL FEDERAL, AL DR. MAXIMILIANO ALBERTO LEANDRO CALLIZO.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,289,NORMAL,PE-166/26-AC,"MENSAJE N° 168/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 44 DE LA CAPITAL FEDERAL, AL DR. SERGIO ALEJANDRO ECHEGARAY.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,288,NORMAL,PE-165/26-AC,"MENSAJE N° 167/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO CIVIL DE LA CAPITAL FEDERAL, SALA K, AL DR. JUAN MANUEL CABRAL",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,287,NORMAL,PE-162/26-AC,"MENSAJE N° 164/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 45 DE LA CAPITAL FEDERAL, AL DR. SEBASTIAN RODRIGO GHERSI.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,286,NORMAL,PE-157/26-AC,"MENSAJE N° 159/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 18 DE LA CAPITAL FEDERAL, A LA DRA. EVANGELINA MARIA LASALA.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,285,NORMAL,PE-125/26-AC,"MENSAJE N° 133/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL GENERAL ANTE LOS TRIBUNALES ORALES EN LO PENAL ECONÓMICO DE LA CAPITAL FEDERAL FISCALÍA N° 3, A LA DRA. NATALIA CECILIA CREDE.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,284,NORMAL,PE-119/26-AC,"MENSAJE N° 127/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 25 DE LA CAPITAL FEDERAL, A LA DRA. MARIANA SALDUNA.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,283,NORMAL,PE-118/26-AC,"MENSAJE N° 126/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL Y CORRECCIONAL N° 16 DE LA CAPITAL FEDERAL, A LA DRA. VANESA SILVANA ALFARO.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,282,NORMAL,PE-116/26-AC,"MENSAJE N° 124/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N° 3 DE LA CAPITAL FEDERAL, AL DR. JAVIER RODRIGO PEREYRA.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,281,NORMAL,PE-112/26-AC,"MENSAJE N° 120/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CIVIL N° 9 DE LA CAPITAL FEDERAL, A LA DRA. LUCILA CALIFANO.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,280,NORMAL,PE-111/26-AC,"MENSAJE N° 119/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSOR PUBLICO OFICIAL ANTE LOS TRIBUNALES ORALES EN LO PENAL ECONOMICO DE LA CAPITAL FEDERAL, DEFENSORIA N° 2, AL DR. HERNAN ENRIQUE FIGUEROA.",DE ACUERDOS -,12/08/2026,PE,Descargar
2026,279,NORMAL,PE-109/26-AC,"MENSAJE N° 117/26 QUE SOLICITA ACUERDO PARA DESIGNAR DEFENSORA PUBLICA OFICIAL ADJUNTA ANTE LOS TRIBUNALES ORALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, DEFENSORIA N° 15, A LA DRA. NURIA SABA SARDAÑONS.",DE ACUERDOS -,12/08/2026,PE,Descargar
